date,Year,earthquakes_per_year
1900-01-01,1900,13.0
1901-01-01,1901,14.0
1902-01-01,1902,8.0
1903-01-01,1903,10.0
1904-01-01,1904,16.0
1905-01-01,1905,26.0
1906-01-01,1906,32.0
1907-01-01,1907,27.0
1908-01-01,1908,18.0
1909-01-01,1909,32.0
1910-01-01,1910,36.0
1911-01-01,1911,24.0
1912-01-01,1912,22.0
1913-01-01,1913,23.0
1914-01-01,1914,22.0
1915-01-01,1915,18.0
1916-01-01,1916,25.0
1917-01-01,1917,21.0
1918-01-01,1918,21.0
1919-01-01,1919,14.0
1920-01-01,1920,8.0
1921-01-01,1921,11.0
1922-01-01,1922,14.0
1923-01-01,1923,23.0
1924-01-01,1924,18.0
1925-01-01,1925,17.0
1926-01-01,1926,19.0
1927-01-01,1927,20.0
1928-01-01,1928,22.0
1929-01-01,1929,19.0
1930-01-01,1930,13.0
1931-01-01,1931,26.0
1932-01-01,1932,13.0
1933-01-01,1933,14.0
1934-01-01,1934,22.0
1935-01-01,1935,24.0
1936-01-01,1936,21.0
1937-01-01,1937,22.0
1938-01-01,1938,26.0
1939-01-01,1939,21.0
1940-01-01,1940,23.0
1941-01-01,1941,24.0
1942-01-01,1942,27.0
1943-01-01,1943,41.0
1944-01-01,1944,31.0
1945-01-01,1945,27.0
1946-01-01,1946,35.0
1947-01-01,1947,26.0
1948-01-01,1948,28.0
1949-01-01,1949,36.0
1950-01-01,1950,39.0
1951-01-01,1951,21.0
1952-01-01,1952,17.0
1953-01-01,1953,22.0
1954-01-01,1954,17.0
1955-01-01,1955,19.0
1956-01-01,1956,15.0
1957-01-01,1957,34.0
1958-01-01,1958,10.0
1959-01-01,1959,15.0
1960-01-01,1960,22.0
1961-01-01,1961,18.0
1962-01-01,1962,15.0
1963-01-01,1963,20.0
1964-01-01,1964,15.0
1965-01-01,1965,22.0
1966-01-01,1966,19.0
1967-01-01,1967,16.0
1968-01-01,1968,30.0
1969-01-01,1969,27.0
1970-01-01,1970,29.0
1971-01-01,1971,23.0
1972-01-01,1972,20.0
1973-01-01,1973,16.0
1974-01-01,1974,21.0
1975-01-01,1975,21.0
1976-01-01,1976,25.0
1977-01-01,1977,16.0
1978-01-01,1978,18.0
1979-01-01,1979,15.0
1980-01-01,1980,18.0
1981-01-01,1981,14.0
1982-01-01,1982,10.0
1983-01-01,1983,15.0
1984-01-01,1984,8.0
1985-01-01,1985,15.0
1986-01-01,1986,6.0
1987-01-01,1987,11.0
1988-01-01,1988,8.0
1989-01-01,1989,7.0
1990-01-01,1990,13.0
1991-01-01,1991,10.0
1992-01-01,1992,23.0
1993-01-01,1993,16.0
1994-01-01,1994,15.0
1995-01-01,1995,25.0
1996-01-01,1996,22.0
1997-01-01,1997,20.0
1998-01-01,1998,16.0
