date,pounds_per_cow
1962-01-01,589.0
1962-02-01,561.0
1962-03-01,640.0
1962-04-01,656.0
1962-05-01,727.0
1962-06-01,697.0
1962-07-01,640.0
1962-08-01,599.0
1962-09-01,568.0
1962-10-01,577.0
1962-11-01,553.0
1962-12-01,582.0
1963-01-01,600.0
1963-02-01,566.0
1963-03-01,653.0
1963-04-01,673.0
1963-05-01,742.0
1963-06-01,716.0
1963-07-01,660.0
1963-08-01,617.0
1963-09-01,583.0
1963-10-01,587.0
1963-11-01,565.0
1963-12-01,598.0
1964-01-01,628.0
1964-02-01,618.0
1964-03-01,688.0
1964-04-01,705.0
1964-05-01,770.0
1964-06-01,736.0
1964-07-01,678.0
1964-08-01,639.0
1964-09-01,604.0
1964-10-01,611.0
1964-11-01,594.0
1964-12-01,634.0
1965-01-01,658.0
1965-02-01,622.0
1965-03-01,709.0
1965-04-01,722.0
1965-05-01,782.0
1965-06-01,756.0
1965-07-01,702.0
1965-08-01,653.0
1965-09-01,615.0
1965-10-01,621.0
1965-11-01,602.0
1965-12-01,635.0
1966-01-01,677.0
1966-02-01,635.0
1966-03-01,736.0
1966-04-01,755.0
1966-05-01,811.0
1966-06-01,798.0
1966-07-01,735.0
1966-08-01,697.0
1966-09-01,661.0
1966-10-01,667.0
1966-11-01,645.0
1966-12-01,688.0
1967-01-01,713.0
1967-02-01,667.0
1967-03-01,762.0
1967-04-01,784.0
1967-05-01,837.0
1967-06-01,817.0
1967-07-01,767.0
1967-08-01,722.0
1967-09-01,681.0
1967-10-01,687.0
1967-11-01,660.0
1967-12-01,698.0
1968-01-01,717.0
1968-02-01,696.0
1968-03-01,775.0
1968-04-01,796.0
1968-05-01,858.0
1968-06-01,826.0
1968-07-01,783.0
1968-08-01,740.0
1968-09-01,701.0
1968-10-01,706.0
1968-11-01,677.0
1968-12-01,711.0
1969-01-01,734.0
1969-02-01,690.0
1969-03-01,785.0
1969-04-01,805.0
1969-05-01,871.0
1969-06-01,845.0
1969-07-01,801.0
1969-08-01,764.0
1969-09-01,725.0
1969-10-01,723.0
1969-11-01,690.0
1969-12-01,734.0
1970-01-01,750.0
1970-02-01,707.0
1970-03-01,807.0
1970-04-01,824.0
1970-05-01,886.0
1970-06-01,859.0
1970-07-01,819.0
1970-08-01,783.0
1970-09-01,740.0
1970-10-01,747.0
1970-11-01,711.0
1970-12-01,751.0
1971-01-01,804.0
1971-02-01,756.0
1971-03-01,860.0
1971-04-01,878.0
1971-05-01,942.0
1971-06-01,913.0
1971-07-01,869.0
1971-08-01,834.0
1971-09-01,790.0
1971-10-01,800.0
1971-11-01,763.0
1971-12-01,800.0
1972-01-01,826.0
1972-02-01,799.0
1972-03-01,890.0
1972-04-01,900.0
1972-05-01,961.0
1972-06-01,935.0
1972-07-01,894.0
1972-08-01,855.0
1972-09-01,809.0
1972-10-01,810.0
1972-11-01,766.0
1972-12-01,805.0
1973-01-01,821.0
1973-02-01,773.0
1973-03-01,883.0
1973-04-01,898.0
1973-05-01,957.0
1973-06-01,924.0
1973-07-01,881.0
1973-08-01,837.0
1973-09-01,784.0
1973-10-01,791.0
1973-11-01,760.0
1973-12-01,802.0
1974-01-01,828.0
1974-02-01,778.0
1974-03-01,889.0
1974-04-01,902.0
1974-05-01,969.0
1974-06-01,947.0
1974-07-01,908.0
1974-08-01,867.0
1974-09-01,815.0
1974-10-01,812.0
1974-11-01,773.0
1974-12-01,813.0
1975-01-01,834.0
1975-02-01,782.0
1975-03-01,892.0
1975-04-01,903.0
1975-05-01,966.0
1975-06-01,937.0
1975-07-01,896.0
1975-08-01,858.0
1975-09-01,817.0
1975-10-01,827.0
1975-11-01,797.0
1975-12-01,843.0
