Quarter,Earnings
2007Q1,-0.36
2007Q2,-0.38
2007Q3,0.07
2007Q4,1.85
2008Q1,-0.34
2008Q2,-0.42
2008Q3,0.02
2008Q4,2.11
2009Q1,-0.39
2009Q2,-0.4
2009Q3,0.21
2009Q4,2.1
2010Q1,-0.39
2010Q2,-0.37
2010Q3,0.2
2010Q4,2.14
2011Q1,-0.35
2011Q2,-0.37
2011Q3,0.1
2011Q4,2.26
2012Q1,-0.24
2012Q2,-0.38
2012Q3,-0.01
2012Q4,2.02
2013Q1,-0.38
2013Q2,-0.36
2013Q3,-0.22
2013Q4,2.56
2014Q1,-0.42
2014Q2,-0.4
2014Q3,-0.78
2014Q4,1.58
2015Q1,-0.4
2015Q2,-0.46
2015Q3,-0.13
2015Q4,2.71
2016Q1,-0.35
2016Q2,-0.56
2016Q3,-0.34
2016Q4,3.17
2017Q1,-0.55
2017Q2,-0.67
2017Q3,-0.45
2017Q4,3.76
